,clusters_np,filenames_np
0,4,DAM006_P_DAP_KID.jpg
1,4,DAM040_T_DAP_KID.jpg
2,3,DAM050_T_DAP_KID.jpg
3,4,DAM084_T_DAP_KID.jpg
4,3,DAM005_F_DAP_KID.jpg
5,0,DAMa017_F_DAP_ADULT.png
6,3,DAM016_P_DAP_KID.jpg
7,2,DAM020_P_DAP_KID.jpg
8,3,DAM054_P_DAP_KID.jpg
9,0,DAMa009_F_DAP_ADULT.png
10,0,DAMa020_F_DAP_ADULT.png
11,4,DAM065_P_DAP_KID.jpg
12,3,DAM074_F_DAP_KID.jpg
13,4,DAM051_F_DAP_KID.jpg
14,4,DAM082_F_DAP_KID.jpg
15,3,DAM012_T_DAP_KID.jpg
16,2,DAM078_P_DAP_KID.jpg
17,3,DAM011_F_DAP_KID.jpg
18,2,DAM076_P_DAP_KID.jpg
19,0,DAMa004_F_DAP_ADULT.png
20,4,DAM041_P_DAP_KID.jpg
21,1,DAMa002_T_DAP_ADULT.png
22,3,DAM071_T_DAP_KID.jpg
23,4,DAM053_P_DAP_KID.jpg
24,0,DAMa001_T_DAP_ADULT.png
25,3,DAM047_T_DAP_KID.jpg
26,4,DAM057_F_DAP_KID.jpg
27,4,DAM006_T_DAP_KID.jpg
28,4,DAM010_F_DAP_KID.jpg
29,2,DAM035_P_DAP_KID.jpg
30,0,DAMa008_T_DAP_ADULT.png
31,4,DAM070_F_DAP_KID.jpg
32,2,DAM064_P_DAP_KID.jpg
33,0,DAMa022_F_DAP_ADULT.png
34,4,DAM052_T_DAP_KID.jpg
35,2,DAM028_T_DAP_KID.jpg
36,2,DAM055_F_DAP_KID.jpg
37,2,DAM062_T_DAP_KID.jpg
38,2,DAM085_F_DAP_KID.jpg
39,1,DAMa024_F_DAP_ADULT.png
40,2,DAM052_P_DAP_KID.jpg
41,4,DAM073_F_DAP_KID.jpg
42,4,DAM012_P_DAP_KID.jpg
43,4,DAM026_F_DAP_KID.jpg
44,3,DAM008_P_DAP_KID.jpg
45,2,DAM064_F_DAP_KID.jpg
46,3,DAM040_F_DAP_KID.jpg
47,2,DAM081_T_DAP_KID.jpg
48,4,DAM013_T_DAP_KID.jpg
49,2,DAM036_P_DAP_KID.jpg
50,3,DAM086_P_DAP_KID.jpg
51,4,DAM063_F_DAP_KID.jpg
52,4,DAM024_T_DAP_KID.jpg
53,3,DAM024_F_DAP_KID.jpg
54,2,DAM030_F_DAP_KID.jpg
55,4,DAM084_F_DAP_KID.jpg
56,2,DAM035_T_DAP_KID.jpg
57,4,DAM046_T_DAP_KID.jpg
58,2,DAM062_P_DAP_KID.jpg
59,4,DAM045_T_DAP_KID.jpg
60,4,DAM048_F_DAP_KID.jpg
61,3,DAM022_F_DAP_KID.jpg
62,1,DAMa023_F_DAP_ADULT.png
63,4,DAM001_P_DAP_KID.jpg
64,0,DAMa016_F_DAP_ADULT.png
65,2,DAM072_T_DAP_KID.jpg
66,4,DAM084_P_DAP_KID.jpg
67,2,DAM078_F_DAP_KID.jpg
68,2,DAM060_T_DAP_KID.jpg
69,2,DAM029_T_DAP_KID.jpg
70,4,DAM014_T_DAP_KID.jpg
71,3,DAM065_T_DAP_KID.jpg
72,0,DAMa010_F_DAP_ADULT.png
73,3,DAM016_F_DAP_KID.jpg
74,2,DAM020_T_DAP_KID.jpg
75,2,DAM035_F_DAP_KID.jpg
76,0,DAMa007_T_DAP_ADULT.png
77,2,DAM025_F_DAP_KID.jpg
78,3,DAM042_P_DAP_KID.jpg
79,1,DAMa019_T_DAP_ADULT.png
80,4,DAM013_F_DAP_KID.jpg
81,2,DAM020_F_DAP_KID.jpg
82,0,DAMa018_T_DAP_ADULT.png
83,2,DAM025_P_DAP_KID.jpg
84,2,DAM030_P_DAP_KID.jpg
85,3,DAM080_F_DAP_KID.jpg
86,2,DAM036_T_DAP_KID.jpg
87,4,DAM019_T_DAP_KID.jpg
88,3,DAM065_F_DAP_KID.jpg
89,4,DAM040_P_DAP_KID.jpg
90,4,DAM057_P_DAP_KID.jpg
91,2,DAM077_T_DAP_KID.jpg
92,3,DAM005_T_DAP_KID.jpg
93,3,DAM009_T_DAP_KID.jpg
94,3,DAM048_P_DAP_KID.jpg
95,4,DAM014_F_DAP_KID.jpg
96,3,DAM004_F_DAP_KID.jpg
97,0,DAMa021_T_DAP_ADULT.png
98,2,DAM002_T_DAP_KID.jpg
99,2,DAM081_P_DAP_KID.jpg
100,2,DAM026_T_DAP_KID.jpg
101,2,DAM079_T_DAP_KID.jpg
102,2,DAM037_T_DAP_KID.jpg
103,4,DAM079_P_DAP_KID.jpg
104,0,DAMa017_T_DAP_ADULT.png
105,4,DAM074_P_DAP_KID.jpg
106,2,DAM019_P_DAP_KID.jpg
107,3,DAM004_P_DAP_KID.jpg
108,4,DAM015_T_DAP_KID.jpg
109,4,DAM043_F_DAP_KID.jpg
110,2,DAM027_T_DAP_KID.jpg
111,2,DAM018_F_DAP_KID.jpg
112,3,DAM076_F_DAP_KID.jpg
113,2,DAM060_F_DAP_KID.jpg
114,3,DAM049_T_DAP_KID.jpg
115,4,DAM077_F_DAP_KID.jpg
116,0,DAMa003_T_DAP_ADULT.png
117,4,DAM051_T_DAP_KID.jpg
118,2,DAM031_T_DAP_KID.jpg
119,2,DAM002_P_DAP_KID.jpg
120,2,DAM028_F_DAP_KID.jpg
121,2,DAM025_T_DAP_KID.jpg
122,3,DAM047_P_DAP_KID.jpg
123,2,DAM068_F_DAP_KID.jpg
124,0,DAMa016_T_DAP_ADULT.png
125,4,DAM041_F_DAP_KID.jpg
126,3,DAM012_F_DAP_KID.jpg
127,2,DAM007_P_DAP_KID.jpg
128,4,DAM072_P_DAP_KID.jpg
129,3,DAM074_T_DAP_KID.jpg
130,2,DAM031_F_DAP_KID.jpg
131,1,DAMa012_F_DAP_ADULT.png
132,3,DAM005_P_DAP_KID.jpg
133,3,DAM042_T_DAP_KID.jpg
134,4,DAM083_P_DAP_KID.jpg
135,2,DAM003_F_DAP_KID.jpg
136,2,DAM063_P_DAP_KID.jpg
137,4,DAM010_P_DAP_KID.jpg
138,4,DAM073_P_DAP_KID.jpg
139,0,DAMa006_T_DAP_ADULT.png
140,4,DAM058_P_DAP_KID.jpg
141,0,DAMa001_F_DAP_ADULT.png
142,3,DAM075_F_DAP_KID.jpg
143,4,DAM043_T_DAP_KID.jpg
144,0,DAMa013_T_DAP_ADULT.png
145,4,DAM056_T_DAP_KID.jpg
146,2,DAM055_T_DAP_KID.jpg
147,3,DAM009_P_DAP_KID.jpg
148,0,DAMa015_T_DAP_ADULT.png
149,2,DAM018_T_DAP_KID.jpg
150,0,DAMa009_T_DAP_ADULT.png
151,2,DAM003_P_DAP_KID.jpg
152,4,DAM015_P_DAP_KID.jpg
153,1,DAMa019_F_DAP_ADULT.png
154,0,DAMa007_F_DAP_ADULT.png
155,4,DAM022_P_DAP_KID.jpg
156,3,DAM044_T_DAP_KID.jpg
157,4,DAM066_P_DAP_KID.jpg
158,4,DAM010_T_DAP_KID.jpg
159,4,DAM006_F_DAP_KID.jpg
160,3,DAM044_F_DAP_KID.jpg
161,2,DAM081_F_DAP_KID.jpg
162,0,DAMa014_F_DAP_ADULT.png
163,0,DAMa014_T_DAP_ADULT.png
164,3,DAM016_T_DAP_KID.jpg
165,0,DAMa004_T_DAP_ADULT.png
166,2,DAM001_T_DAP_KID.jpg
167,0,DAMa003_F_DAP_ADULT.png
168,0,DAMa015_F_DAP_ADULT.png
169,4,DAM075_P_DAP_KID.jpg
170,4,DAM083_F_DAP_KID.jpg
171,3,DAM011_T_DAP_KID.jpg
172,2,DAM033_P_DAP_KID.jpg
173,1,DAMa024_T_DAP_ADULT.png
174,3,DAM049_F_DAP_KID.jpg
175,3,DAM073_T_DAP_KID.jpg
176,2,DAM002_F_DAP_KID.jpg
177,2,DAM008_T_DAP_KID.jpg
178,4,DAM058_F_DAP_KID.jpg
179,4,DAM070_P_DAP_KID.jpg
180,4,DAM009_F_DAP_KID.jpg
181,2,DAM039_P_DAP_KID.jpg
182,0,DAMa020_T_DAP_ADULT.png
183,2,DAM055_P_DAP_KID.jpg
184,2,DAM068_T_DAP_KID.jpg
185,2,DAM031_P_DAP_KID.jpg
186,4,DAM015_F_DAP_KID.jpg
187,0,DAMa011_F_DAP_ADULT.png
188,2,DAM007_T_DAP_KID.jpg
189,0,DAMa013_F_DAP_ADULT.png
190,0,DAMa011_T_DAP_ADULT.png
191,2,DAM018_P_DAP_KID.jpg
192,0,DAMa005_T_DAP_ADULT.png
193,3,DAM046_P_DAP_KID.jpg
194,2,DAM037_P_DAP_KID.jpg
195,2,DAM036_F_DAP_KID.jpg
196,2,DAM028_P_DAP_KID.jpg
197,4,DAM059_P_DAP_KID.jpg
198,4,DAM080_P_DAP_KID.jpg
199,2,DAM021_T_DAP_KID.jpg
200,1,DAMa002_F_DAP_ADULT.png
201,3,DAM048_T_DAP_KID.jpg
202,3,DAM004_T_DAP_KID.jpg
203,2,DAM033_F_DAP_KID.jpg
204,0,DAMa022_T_DAP_ADULT.png
205,0,DAMa005_F_DAP_ADULT.png
206,2,DAM062_F_DAP_KID.jpg
207,2,DAM078_T_DAP_KID.jpg
208,3,DAM064_T_DAP_KID.jpg
209,4,DAM058_T_DAP_KID.jpg
210,3,DAM008_F_DAP_KID.jpg
211,4,DAM052_F_DAP_KID.jpg
212,2,DAM033_T_DAP_KID.jpg
213,0,DAMa010_T_DAP_ADULT.png
214,4,DAM077_P_DAP_KID.jpg
215,3,DAM023_P_DAP_KID.jpg
216,4,DAM019_F_DAP_KID.jpg
217,2,DAM030_T_DAP_KID.jpg
218,4,DAM029_P_DAP_KID.jpg
219,3,DAM021_F_DAP_KID.jpg
220,2,DAM001_F_DAP_KID.jpg
221,0,DAMa008_F_DAP_ADULT.png
222,4,DAM032_P_DAP_KID.jpg
223,2,DAM027_P_DAP_KID.jpg
224,4,DAM070_T_DAP_KID.jpg
225,3,DAM050_P_DAP_KID.jpg
226,2,DAM037_F_DAP_KID.jpg
227,0,DAMa018_F_DAP_ADULT.png
228,0,DAMa021_F_DAP_ADULT.png
229,4,DAM041_T_DAP_KID.jpg
230,4,DAM027_F_DAP_KID.jpg
231,0,DAMa006_F_DAP_ADULT.png
232,4,DAMa025_T_DAP_ADULT.png
233,3,DAM049_P_DAP_KID.jpg
234,4,DAM082_P_DAP_KID.jpg
235,4,DAM044_P_DAP_KID.jpg
236,2,DAM079_F_DAP_KID.jpg
237,4,DAM014_P_DAP_KID.jpg
238,1,DAMa012_T_DAP_ADULT.png
239,4,DAM083_T_DAP_KID.jpg
240,2,DAM003_T_DAP_KID.jpg
241,3,DAM053_T_DAP_KID.jpg
242,4,DAM071_F_DAP_KID.jpg
243,4,DAM051_P_DAP_KID.jpg
244,3,DAM080_T_DAP_KID.jpg
245,3,DAM011_P_DAP_KID.jpg
246,4,DAMa025_F_DAP_ADULT.png
247,3,DAM053_F_DAP_KID.jpg
248,4,DAM054_T_DAP_KID.jpg
249,4,DAM013_P_DAP_KID.jpg
250,3,DAM076_T_DAP_KID.jpg
251,2,DAM024_P_DAP_KID.jpg
252,4,DAM071_P_DAP_KID.jpg
253,1,DAMa023_T_DAP_ADULT.png
254,2,DAM029_F_DAP_KID.jpg
255,2,DAM007_F_DAP_KID.jpg
256,2,DAM072_F_DAP_KID.jpg
257,2,DAM026_P_DAP_KID.jpg
