id,drop,IS_medium_order,IS_shape_order,IS_site,age_yr,age4g,female,adult,child,QC_med_order,QC_today_mm,QC_dob_mm,QC_today_yy,QC_dob_yy,QC_sex,QC_site,QC_order,QC_friend1,QC_friend2,QC_friend3,QC_med1_TS,QC_med1_PM,QC_med1_TF,QC_shape_order1,QC_trainL1,QC_trainR1,QC_test1L1,QC_test1R1,QC_test2L1,QC_train2R1,QC_test3L1,QC_test3R1,QC_test4L1,QC_train4R1,QC_test5L1,QC_test5R1,QC_test6L1,QC_train6R1,QC_personL1,QC_personR1,QC_train1_note1,QC_test1_note1,QC_test2_note1,QC_test3_note1,QC_test4_note1,QC_test5_note1,QC_test6_note1,QC_person_note1,QC_med2_PM,QC_med2_TS,QC_med2_TF,QC_shape_order2,QC_trainL2,QC_trainR2,QC_test1L2,QC_test1R2,QC_test2L2,QC_train2R2,QC_test3L2,QC_test3R2,QC_test4L2,QC_train4R2,QC_test5L2,QC_test5R2,QC_test6L2,QC_train6R2,QC_personL2,QC_personR2,QC_train1_note2,QC_test1_note2,QC_test2_note2,QC_test3_note2,QC_test4_note2,QC_test5_note2,QC_test6_note2,QC_person_note2,QC_med3_TS,QC_med3_PM,QC_med3_TF,QC_shape_order3,QC_trainL3,QC_trainR3,QC_test1L3,QC_test1R3,QC_test2L3,QC_train2R3,QC_test3L3,QC_test3R3,QC_test4L3,QC_train4R3,QC_test5L3,QC_test5R3,QC_test6L3,QC_train6R3,QC_personL3,QC_personR3,QC_train1_note3,QC_test1_note3,QC_test2_note3,QC_test3_note3,QC_test4_note3,QC_test5_note3,QC_test6_note3,QC_person_note3,QC_fold_note1,QC_fold_note2,QC_fold_note3,QC_fold_note4,QC_grip1L,QC_grip1R,QC_grip2L,QC_grip2R,QC_grip3L,QC_grip3R,QC_grip_note,QC_pinch1L,QC_pinch1R,QC_pinch2L,QC_pinch2R,QC_pinch3L,QC_pinch3R,QC_pinch_note,QC_catch1L,QC_catch1R,QC_catch2L,QC_catch2R,QC_catch3L,QC_catch3R,QC_throw1L,QC_throw1R,QC_throw2L,QC_throw2R,QC_throw3L,QC_throw3R,QC_toss_note1,QC_toss_note2,QC_toss_note3,QC_cube1L,QC_cube1R,QC_cube2L,QC_cube2R,QC_cube3L,QC_cube3R,QC_cube4L,QC_cube4R,QC_cube5L,QC_cube5R,QC_cube6L,QC_cube6R,QC_cube7L,QC_cube7R,QC_cube8L,QC_cube8R,QC_cube9L,QC_cube9R,QC_cube10L,QC_cube10R,QC_cube_note1,QC_cube_note2,QC_cube_note3,QC_cube_note4,QC_cube_note5,QC_cube_note6,QC_cube_note7,QC_cube_note8,QC_cube_note9,QC_cube_note10,QC_cube_total,QC_freeL,QC_freeR,QC_pick_tablet,QC_pick_paper,QC_pick_marker,QC_pick_finger,QC_free_note,QC_grip_maxL,QC_grip_maxR,QC_grip_maxLR,QC_pinch_maxL,QC_pinch_maxR,QC_pinch_maxLR,QC_draw1_bothLR,QC_draw2_bothLR,QC_draw3_bothLR,QC_catch1_bothLR,QC_catch2_bothLR,QC_catch3_bothLR,QC_catch_bothLR,QC_throw1_bothLR,QC_throw2_bothLR,QC_throw3_bothLR,QC_throw_bothLR,QC_cube1_bothLR,QC_cube2_bothLR,QC_cube3_bothLR,QC_cube4_bothLR,QC_cube5_bothLR,QC_cube6_bothLR,QC_cube7_bothLR,QC_cube8_bothLR,QC_cube9_bothLR,QC_cube10_bothLR,QC_cube_bothLR,QC_draw1_sumL,QC_draw1_sumR,QC_draw1_sumLR,QC_draw1_sumLRB,QC_draw1_propR,QC_draw2_sumR,QC_draw2_sumLR,QC_draw2_sumLRB,QC_draw2_propR,QC_draw2_sumL,QC_draw3_sumL,QC_draw3_sumR,QC_draw3_sumLR,QC_draw3_sumLRB,QC_draw3_propR,QC_catch_sumL,QC_catch_sumR,QC_catch_sumLR,QC_catch_sumLRB,QC_catch_propR,QC_throw_sumL,QC_throw_sumR,QC_throw_sumLR,QC_throw_sumLRB,QC_throw_propR,QC_cube_sumL,QC_cube_sumR,QC_cube_sumLR,QC_cube_sumLRB,QC_cube_propR,QC_free_sumLR,QC_free_bothLR,QC_free_propR,QC_free_sumLRB,QC_handed,QC_handed.n,QC_handed.d,f_c,f_cr,f_nc,f_nt,f_s,f_tri,p_c,p_cr,p_nc,p_nt,p_s,p_tri,s_c,s_cr,s_nc,s_nt,s_s,s_tri,pcf,pcf_f,pcf_n,avg.pcf,avg.pcf_f,avg.pcf_n,pcp,pcp_f,pcp_n,avg.pcp,avg.pcp_f,avg.pcp_n,pcs,pcs_f,pcs_n,avg.pcs,avg.pcs_f,avg.pcs_n,DP_f_head,DP_f_ears,DP_f_eyes,DP_f_nose,DP_f_mouth,DP_f_body,DP_f_arms,DP_f_hands,DP_f_legs,DP_f_feet,DP_f_clothes,DP_f_hair,DP_f_note,DP_f_total,DP_p_head,DP_p_ears,DP_p_eyes,DP_p_nose,DP_p_mouth,DP_p_body,DP_p_arms,DP_p_hands,DP_p_legs,DP_p_feet,DP_p_clothes,DP_p_hair,DP_p_note,DP_p_total,DP_s_head,DP_s_ears,DP_s_eyes,DP_s_nose,DP_s_mouth,DP_s_body,DP_s_arms,DP_s_hands,DP_s_legs,DP_s_feet,DP_s_clothes,DP_s_hair,DP_s_note,DP_s_total,PS_p_age,PS_p_edu,PS_p_merital,PS_p_house,PS_p_ses,PS_c1_age,PS_c2_age,PS_c3_age,PS_c4_age,PS_c5_age,PS_c_dob_mm,PS_c_dob_yy,PS_ethnicity,PS_eth_asian,PS_eth_black,PS_eth_cauc,PS_eth_hisp,PS_eth_native,PS_eth_other,PS_yesterday,PS_ymin_video,PS_ymin_computer,PS_ymin_internet,PS_ymin_videochat,PS_ymin_cellphone,PS_ymin_xbox,PS_ymin_nintendo,PS_ymin_kindle,PS_ymin_touchscreen,PS_ymin_usual,PS_outside_care,PS_num_tv,PS_num_desktop,PS_num_laptop,PS_num_xbox,PS_num_nintendo,PS_min_tablet,PS_min_smartphone,PS_min_othertouch,PS_allow_touch,PS_mos_firstuse,PS_freq_ipod,PS_freq_ipad,PS_freq_iphone,PS_freq_leappad,PS_freq_nook,PS_freq_other,PS_ymin_ipod,PS_ymin_ipad,PS_ymin_iphone,PS_ymin_leappad,PS_ymin_nook,PS_ymin_other,PS_drawapp_use,PS_drawapp_familiar,PS_colorapp_use,PS_colorapp_familiar,PS_writeapp_use,PS_writeapp_familiar,PS_freq_marker_paper,PS_freq_crayon_paper,PS_freq_pens_paper,PS_freq_pencil_paper,PS_freq_finger_ipad,PS_freq_stylus_ipad,PS_freq_chalk_pavement,PS_freq_otherd,PS_enjoy_traditional,PS_enjoy_electronic,PS_min_traditional,PS_min_electornic,PS_comment,asq_total,asq_communication,asq_grossmotor,asq_finemotor,asq_problemsolving,asq_personalsocial,,
DAM001,0,SPF,ABC,PSL,5.7,3,0,0,1,PFS,7,11,1,7,1,1,4,1,,,0,1,0,1,NA,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,hand covered the picture from the camera,0,1,1,2,NA,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,1,0,0,3,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,Pp did all trainings with right hand,,,,,,"fit cross to go through the section that ""glitched""",had some problems with zoom function,folded face down,folded face down,folded face down,tried folding in air and on table. had very hard time,8,8,10,10,8,8,hand a little lower than 90,4.5,4.5,3,5,3,3.5,tried to use two hands and hand more of a squeeze grip,0,0,0,0,0,0,0,1,0,1,0,1,,,,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,,,got distracted by class,,NA,,,,,,10,0,1,0,1,NA,NA,,10,10,10,4.5,5,5,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,0,3,3,3,1,7,3,10,10,0.3,1,0,1,1,0.92,35,38,3,2,2,4,3,2,3,3,3,4,4,3,3,0,3,3,2,2,1,1,1,2.666666667,2.5,3,1,1,1,3.333333333,3.25,3.5,0.833333333,0.75,1,2.6,2.333333333,3,1,0,1,1,1,1,1,0,1,0,0,1,,8,1,0,0,0,0,1,1,1,1,1,0,0,,6,1,0,1,1,1,1,NA,0,1,0,0,0,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
DAM002,0,FSP,ACB,PSL,5.42,3,1,0,1,FSP,7,2,1,6,2,1,5,1,,,0,0,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,,,,,,mirror image,,"drew name first, then asked to draw picture",NA,NA,NA,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,,,,mirror image,,,,drew picture of mom,0,1,0,1,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,used right hand to hold paper steady,"""",four separate lines,mirror image,,,,used right to hold paper steady,fold against table face up,against table face up creased line,against table face up creased,,7,7,2,6,4,6,,3,2.5,2.5,3,2.5,3,,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"dropped, threw with both hands","""","""",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,used left to straighten,,NA,,,,,,10,1,0,1,0,1,0,drew a person,7,7,7,3,3,3,0,0,0,0,0,0,NA,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,7,7,0,7,7,0,7,7,0,NA,NA,NA,NA,NA,1,1,2,5,0.5,0,10,10,10,1,1,0,0,1,0.92,34,37,3,0,3,1,2,2,3,3,2,2,2,3,3,2,3,1,1,2,0.833333333,0.75,1,2.2,2.333333333,2,1,1,1,2.5,2.75,2,1,1,1,2,2,2,1,0,1,0,0,1,1,1,1,0,0,1,,7,1,0,1,1,1,1,1,1,1,1,1,1,,11,1,0,1,0,0,1,1,0,1,1,0,1,,7,29,16,2,1,7,5,,,NA,NA,2,6,cauc,NA,NA,1,NA,NA,NA,Fri,30,0,0,0,0,0,0,0,15,2,2,3,0,1,0,0,1,2,0,1,3,1,4,4,1,1,3,0,20,25,0,0,0,1,3,1,3,1,3,4,4,4,4,3,3,3,3,8,7,20,20,,265,55,35,55,60,60,,
DAM003,0,FSP,BAC,PSL,4.53,2,1,0,1,SPF,7,1,1,5,2,1,1,1,,,1,0,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,1,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,0,0,1,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,,,,closed eyes for first line,,,,,folded face down,folded face down,folded face up,4,6,8,8,6,8,,3,3.5,3,3.5,2.5,3,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,NA,,,,,,10,NA,NA,1,0,0,1,,8,8,8,3,3.5,3.5,0,0,0,1,1,1,3,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,1,1,2,5,0.5,1,9,10,10,0.9,NA,NA,NA,NA,0.85,33,39,2,2,2,2,3,1,2,2,3,2,1,1,3,3,1,3,2,1,1,1,1,2,2,2,1,1,1,1.833333333,1.5,2.5,1,1,1,2.166666667,2.25,2,1,0,1,0,1,0,1,0,1,0,0,1,,6,1,0,1,0,1,0,1,0,1,0,0,1,,6,1,0,1,0,1,0,1,1,1,0,0,1,,7,40,23,2,1,9,4.5,7,,NA,NA,1,7,cauc_hisp,NA,NA,1,1,NA,NA,Mon,30,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,2,2,1,24,NA,NA,4,NA,5,NA,0,0,0,0,0,30,2,NA,2,NA,2,NA,3,3,3,1,1,1,2,NA,9,NA,30,NA,"Kids use kindle fire to watch shows  only. They don't really do any apps. On the phone, they will play games while we are driving, but that's it.",290,60,60,55,55,60,,
DAM004,0,SPF,BCA,PSL,5.37,3,0,0,1,SPF,7,3,1,6,1,1,1,1,Carson,Finley,1,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,1,0,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,0,0,1,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,11,10,10,12,8,9,,2,4.5,2.5,3.5,3,3.5,,0,0,0,0,0,0,0,1,0,1,0,1,,,,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,NA,NA,NA,NA,,,,,NA,,,,,,8,0,1,1,0,0,1,,11,12,12,3,4.5,4.5,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,0,3,3,3,1,1,7,8,8,0.875,1,0,1,1,0.92,33,36,2,3,3,2,2,2,2,2,3,2,2,1,2,3,3,2,2,1,1,1,1,2.333333333,2.25,2.5,1,1,1,2,1.75,2.5,1,1,1,2.166666667,2,2.5,1,0,1,1,1,1,1,0,1,0,0,0,,7,1,0,1,1,1,1,1,0,1,0,0,0,,7,1,0,1,1,1,1,1,0,1,0,0,0,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
DAM005,0,PFS,CBA,PSL,4.19,2,0,0,1,PFS,7,5,1,5,1,1,4,1,,,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,holds pen about halfway up the marker,,,,,,,circle with two eyes,0,0,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,drew line down middle,1,0,0,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,holds pen the same way,,,,,,,,,on table,on table,folded wrong axis,2,2,4,5,4,3,,3,2,3,2,2,2.5,,0,0,0,0,0,0,0,1,0,1,0,1,overhand ,overhand,underhand,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,NA,,,,,,10,0,1,1,0,1,0,,4,5,5,3,2.5,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,0,3,3,3,1,0,10,10,10,1,1,0,1,1,0.92,35,38,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1.75,2.5,1,1,1,2,2,2,1,1,1,1.666666667,1.75,1.5,1,0,1,0,0,0,0,0,0,0,0,0,"Line down the center of face-- not coded, but could be a nose",2,1,0,1,0,0,0,0,0,0,0,0,0,,2,1,0,1,0,0,0,0,0,0,0,0,0,,2,37,17,2,3,9,4,1,,NA,NA,5,7,asian,1,NA,NA,NA,NA,NA,Thu,60,0,0,15,5,0,0,0,0,2,2,2,0,1,1,0,2,2,0,1,18,NA,3,4,NA,NA,NA,0,0,15,0,0,0,1,2,1,3,1,3,3,3,3,2,4,2,2,NA,8,10,15,40,"Our child really enjoys electronic viewing and interacting. If we allowed it, he would do it everyday all the time. We try to limit his time with such items for under 60 minutes a day. ",265,45,55,55,60,50,,
DAM006,0,FSP,CAB,PSL,4.3,2,1,0,1,FSP,7,3,1,5,1,1,5,1,,,0,0,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,really tiny!,,,didn't look like shape,,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,? check,,,,,triangles look like circle,first line is always on the outside and does not start in the middle,,0,1,0,2,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,,,,,,circle triangle ,,,on table,"on table, but folded corners and not along line",unable to fold middle line,6,7,6,4,6,4,,2,2.4,2,3,2.5,3,,0,0,0,0,0,0,0,0,0,0,1,1,,,,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,,,,NA,,,,,,10,0,1,1,0,0,1,,6,7,7,2.5,3,3,0,0,0,1,1,1,3,1,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,1,1,2,5,0.5,4,5,9,10,0.556,1,0,1,1,0.82,33,40,3,3,2,1,1,1,3,3,3,1,3,1,2,3,2,1,2,1,1,1,1,1.833333333,2,1.5,1,1,1,2.333333333,2.5,2,1,1,1,1.833333333,2,1.5,0,0,1,0,0,0,0,0,1,1,0,0,,3,1,0,1,0,0,0,0,0,1,1,0,0,,4,0,0,1,0,0,0,0,0,1,1,0,0,,3,47,18,2,1,6,10,4,,NA,NA,3,7,hisp,NA,NA,NA,1,NA,NA,Mon,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,1,1,0,1,24,1,4,1,1,1,1,0,0,0,0,0,0,1,2,2,1,1,2,3,4,4,3,1,1,2,1,7,7,NA,NA,,295,60,55,60,60,60,,
DAM007,0,SPF,CAB,PSL,4.2,2,0,0,1,SPF,7,5,1,5,1,1,1,1,,,1,0,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,"turned paper so it was vertical in order to ""draw bigger picture""",0,0,1,2,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,circle,,,square,novel triangle,cross,turned tablet so it was vertical,,,,folded it from both sides of the paper to try to get it to fold correctly,6,6,8,8,4,6,,3.5,2.5,3,1,3.5,5,for last two trials he squeezed it with whole hand instead of just two fingers ,0,1,0,0,0,0,0,1,0,1,0,1,,,,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,blocks fell,NA,,,,,,4,0,1,0,1,NA,NA,turned paper so it was vertical,8,8,8,3.5,5,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,1,1,3,1,0,3,3,3,1,0,5,5,5,1,1,0,1,1,0.94,31,33,2,2,3,2,1,1,2,3,3,2,1,1,4,2,3,3,1,1,1,1,1,1.833333333,1.5,2.5,1,1,1,2,1.75,2.5,1,1,1,2.333333333,2,3,1,0,1,0,1,0,0,0,1,0,0,0,,4,1,0,1,0,1,0,0,0,1,0,0,0,,4,1,0,1,0,1,0,0,0,1,0,0,0,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
DAM008,0,PFS,BCA,PSL,4.4,2,0,0,1,PFS,7,2,1,5,1,1,4,1,,,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,drew cat because he couldn't come up with friends/family,0,0,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,drew his dog,1,0,0,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,drew mom,face down against table,face down against table,folded the wrong way in half,,6,4,5,4,6,4,,2.5,3,3,3,3,3.5,,0,0,0,0,0,0,0,0,0,0,1,1,underhand throw,underhand,underhand,NA,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,did touch first block,,,,NA,,,,,,10,0,1,1,0,0,1,"kept trying to use his whole hand, switched to one finger",6,4,6,3,3.5,3.5,0,0,0,1,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,1,1,2,5,0.5,0,9,9,9,1,1,0,1,1,0.85,33,39,3,3,2,2,3,2,2,3,3,4,3,4,2,3,2,3,3,3,1,1,1,2.5,2.75,2,1,1,1,3.166666667,3,3.5,1,1,1,2.666666667,2.75,2.5,1,0,1,1,1,0,1,0,1,0,0,0,,6,0,0,1,0,1,1,1,0,1,0,0,0,,5,1,0,1,0,1,0,1,0,1,0,0,1,,6,33,17,2,3,7,4,,,NA,NA,2,7,cauc,NA,NA,1,NA,NA,NA,Mon,2,0,1,0,0,0,0,0,1,1,2,3,0,2,1,0,2,2,0,1,18,1,5,4,1,1,1,0,60,0,0,0,0,1,2,2,1,1,3,4,4,4,2,4,1,1,1,9,9,30,60,,220,50,30,45,60,35,,
DAM009,0,FSP,CBA,PSL,4.02,2,1,0,1,FSP,7,7,1,5,2,1,5,1,,,0,0,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,had some problems with getting marker to make a mark on the screen,,,,,0,1,0,1,0,1,0,1,NA,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,folded face up,folded face up,tried folding face up then folded it in the air,6,4,6,4,4,4,,2,2,2,2.5,2,2.5,,0,0,0,0,0,0,0,1,0,1,0,1,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,NA,,,,,,10,0,1,1,0,0,1,,6,4,6,2,2.5,2.5,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,1,0,0,7,7,7,1,0,0,0,3,NA,0,3,3,3,1,0,10,10,10,1,1,0,1,1,0.92,35,38,3,2,3,2,2,1,2,3,3,2,3,3,3,2,3,2,3,2,1,1,1,2.166666667,2,2.5,1,1,1,2.666666667,2.75,2.5,1,1,1,2.5,2.5,2.5,1,0,1,0,1,0,0,0,0,0,0,1,,4,1,0,1,0,1,0,0,0,0,0,0,1,,4,1,0,1,0,1,0,0,0,0,0,0,1,,4,37,21,2,3,6,4,0.3,,NA,NA,7,7,asian,1,NA,NA,NA,NA,NA,Mon,2,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,1,2,0,1,24,NA,4,5,NA,NA,NA,0,0,30,0,0,0,1,3,1,5,2,1,4,4,3,2,2,1,2,NA,10,4,40,5,,295,60,60,60,60,55,,
